Consolidated Item List,,,,,,,,Commodity Type,Item Count,Item Type,Item Count
4059G45-106-PP,5/8-11 X 2 SOC CS STL GR 574,ACC-SP,701,6,0,Fasteners,Screw,,,,
43025-0200,43025-0200 MOLEX,LEEJOH,700,700,0,Electrical & Wiring,Connector,,,,
43025-0800,43025-0800 MOLEX,FE,700,300,0,Electrical & Wiring,Connector,,,,
43030-0009,43030-0009 MOLEX,FE,700,"1,880",0,Electrical & Wiring,Connector,,,,
43030-0012,43030-0012 MOLEX,FE,700,358,0,Electrical & Wiring,Connector,,,,
435-012,ADAPTER 1 1/4 IN PVC SCH 40,HARRIN,700,250,0,Hardware & Fittings,Fitting / Valve,,,,
43645-0300,46345-0300 MOLEX,FE,700,100,0,Electrical & Wiring,Connector,,,,
43645-0600,43645-0600 MOLEX,LEEJOH,700,300,0,Electrical & Wiring,Connector,,,,
437248BC,"2"" X 3/4"" SCH 40 REDUCER",ACC-SP,701,300,0,Fasteners,Screw,,,,
4450017137-PP,BRACKET MADE PER PRINT,HEREDE,902-DOM,"1,001",0,Hardware & Fittings,Hardware Component,,,,
4450017139-PP,BRACKET MADE PER PRINT,HEREDE,902-DOM,"1,001",0,Hardware & Fittings,Hardware Component,,,,
4464K271,3/4 MALE X 1/2 FEMALE 304 SS,MMC,700,5,0,Hardware & Fittings,Hardware Component,,,,
4506-440-SS-20,RAF 4506-440-SS-20,HI-Q,700,525,0,Hardware & Fittings,Hardware Component,,,,
4571-632-S-12,6-32 X 1/4 5/16 HEX M/F STDOFF,FASCOM,700,0,300,Fasteners,Bolt,,,,
4-7 1 7-D,PN# 4B-7 1 7 - 7 POSITION GND,BRUMAL,800-BALBOA,"16,400","50,000",Hardware & Fittings,Hardware Component,,,,
4-725052-01,M3 X 12MM SOC CAP DIN 912,ACC-SP,701,"4,200",0,Hardware & Fittings,Hardware Component,,,,
4-9 3 7,NEUTRAL BAR X-SECTION 5/16 X,BRUMAL,800,476,0,Raw Materials & Metals,Raw Material,,,,
4B-8 1 8,8 POSITION 6 GRND 2 MOUNT LUG,BRUMAL,800-BALBOA,"17,357","43,500",Electrical & Wiring,Lug / Terminal,,,,
5000-10009-00-PP,3/8-7 X 4 TRI-LOBE HEAD FLANGE,ULTRAF,800,0,"2,115",Hardware & Fittings,Fitting / Valve,,,,
5000-10012-03-PP,10-32 DOUBLE ENDED STUD,STMTAP,902-CHAN,0,"90,000",Fasteners,Rod / Stud,,,,
5000-30009-00-PP,SPRING COMPRESSION PASSIVATE,STERL,800,"122,800","203,700",Springs & Clips,Spring,,,,
5005-62,RETAINING RING INTERNAL,RTC,700,"2,250",0,Springs & Clips,Clip / Pin / Ring,,,,
50088-0154-PP,1-1/2-12 X 9 HX BOLT A193 B7,BIGBOL,801,4,0,Fasteners,Bolt,,,,
5008J19-24SS,YARDLEY PRODUCT  5008J19-24SS,YPC,700,500,0,Hardware & Fittings,Hardware Component,,,,
500G-10,GLOVE GREY NYLON SHELL BLACK,GLOBGL,400,12,0,Miscellaneous/MRO,Safety / MRO,,,,
500G-6,GLOVE GREY NYLON SHELL BLACK,GLOBGL,400,60,0,Miscellaneous/MRO,Safety / MRO,,,,
500G-7,GLOVE GREY NYLON SHELL BLACK,GLOBGL,400,6,0,Miscellaneous/MRO,Safety / MRO,,,,
500G-8,GLOVE GREY NYLON SHELL BLACK,GLOBGL,400,10,0,Miscellaneous/MRO,Safety / MRO,,,,
500G-9,GLOVE GREY NYLON SHELL BLACK,GLOBGL,400,8,0,Miscellaneous/MRO,Safety / MRO,,,,
500G-VP-L,VEND-PACK MACH FINISH NITRILE,GLOBGL,400,64,0,Miscellaneous/MRO,Safety / MRO,,,,
500G-VP-M,VEND-PACK MACH FINISH NITRILE,GLOBGL,400,22,0,Miscellaneous/MRO,Safety / MRO,,,,
500G-VP-S,VEND-PACK MACH FINISH NITRILE,GLOBGL,400,6,0,Miscellaneous/MRO,Safety / MRO,,,,
500G-VP-XL,VEND-PACK MACH FINISH NITRILE,GLOBGL,400,18,0,Miscellaneous/MRO,Safety / MRO,,,,
5026-B,5026-B LERCO LUG / KEYSTONE,FE,800,5,"24,771",Electrical & Wiring,Lug / Terminal,,,,
502N004CNUTST ZI3,#4-40 502 CONICAL KEPS NUT STL,HI-Q,700,750,0,Fasteners,Nut,,,,
50394-8200,MILLI GRID CRIMP TERMINAL,FE,700,"1,000",0,Electrical & Wiring,Lug / Terminal,,,,
50501059401-PP,GASKET BEZEL COVER REV. C,CALIBE,800,4,0,Hardware & Fittings,Seal / Gasket / O-Ring,,,,
50501059501-PP,GASKET FDS BEZEL REV. C,CALIBE,800,4,0,Hardware & Fittings,Seal / Gasket / O-Ring,,,,
50-57-9402,50-57-9402 MOLEX,FE,700,100,0,Electrical & Wiring,Connector,,,,
50-57-9404,50-57-9404 MOLEX,FE,700,500,0,Electrical & Wiring,Connector,,,,
50FC-524,5/16-24 FLEX-LOC NUT S.S,KAN,200,375,125,Fasteners,Nut,,,,
50M030050D005,M3 X 0.5 X5 SLOTTED CHEESE,VIP,700,800,0,Fasteners,Screw,,,,
50M030050H008-B,M3X8 SLOT FLT M/S NYLON BLACK,ESSENTRA,800,"3,600",0,Hardware & Fittings,Hardware Component,,,,
50M030050H030,M3 X 0.5 X 30 SLOT FLAT,ESSENTRA,700,800,0,Fasteners,Screw,,,,
50M040070J010,M4 X 0.7 X 10 HEX CAP SCREW,VIP,700,200,0,Fasteners,Screw,,,,
5100-025H,1/4 EXT RET RING SS,WSS,700,"2,750",0,Springs & Clips,Clip / Pin / Ring,,,,
5100-050 ZYT,"1/2""  EXTERNAL RETAINING RING",WSS,700,2,0,Springs & Clips,Clip / Pin / Ring,,,,
5100-100H,5100-100H Stainless Steel,WSS,800,150,0,Hardware & Fittings,Hardware Component,,,,
5100-12,5100-12-C COPPER RET RING #12,WSS,700,"19,400",0,Springs & Clips,Clip / Pin / Ring,,,,
5100-15C-MD,5100-15C CAD WITH YELLOW,ACC-SP,701,"1,000",0,Hardware & Fittings,Hardware Component,,,,
5100-18-C-MD,5100-18-C-MD CAD YELLOW,RTC,701,0,500,Hardware & Fittings,Hardware Component,,,,
5100-25H,5100-25H,RTC,700,424,0,Hardware & Fittings,Hardware Component,,,,
5100-37-H-TAPED,3/8 EXT RET RING SS TAPED,WSS,800,"24,000","26,000",Springs & Clips,Clip / Pin / Ring,,,,
5100-43H-TAPED,5100-43H 7/16 RET.RING,WSS,800,"32,000",0,Springs & Clips,Clip / Pin / Ring,,,,
5100-50H,5100-50H,WSS,700,600,0,Hardware & Fittings,Hardware Component,,,,
5100-56,5100-56  RETAINING RING,RTC,700,650,0,Springs & Clips,Clip / Pin / Ring,,,,
5100-62,5100-62 RET RING STEEL,S&MRET,700,126,0,Springs & Clips,Clip / Pin / Ring,,,,
5100-62H,5100-62H TRU ARC RET.RING,WSS,700,600,0,Springs & Clips,Clip / Pin / Ring,,,,
5100-75H,3/4 SHAFT RET RING STAINLESS,WSS,700,500,0,Springs & Clips,Clip / Pin / Ring,,,,
5100-87H,5100-87H   STAINLESS RET RING,RTC,700,359,0,Springs & Clips,Clip / Pin / Ring,,,,
5108-50-H,5108-50-H,WSS,700,200,0,Hardware & Fittings,Hardware Component,,,,
5115-012,"1/8"" REINFORCED RET RING .010",WSS,700,0,"20,000",Springs & Clips,Clip / Pin / Ring,,,,
5115-15H,5115-15H,GLHUYE,700,"7,000",0,Hardware & Fittings,Hardware Component,,,,
5115-18H,5115-18H,WSS,700,500,0,Hardware & Fittings,Hardware Component,,,,
5133-12-H,5133-12-H EXT E RETAINING RING,RTC,700,"2,000",0,Springs & Clips,Clip / Pin / Ring,,,,
5133-25-ZI3,"E-RING 1/4 ""SHAFT SIZE-STEEL",WSS,700,"2,650",0,Springs & Clips,Clip / Pin / Ring,,,,
5133-37H,5133-37-H STAINLESS E-RING,WSS,700,"4,750",0,Springs & Clips,Clip / Pin / Ring,,,,
5133-37-Z3X,3/8 E-RING STEEL ZINC,RTC,700,"2,000",0,Springs & Clips,Clip / Pin / Ring,,,,
5133-50-SS,5133-50-SS WALDES E-50-2-SS,RTC,700,"7,500",0,Hardware & Fittings,Hardware Component,,,,
5133-6H,5133-6H EXT E RETAINING RING,RTC,700,"75,000",0,Springs & Clips,Clip / Pin / Ring,,,,
5133-74-ZI,"3/4"" RETAINING RING E-STYLE ST",RTC,700,"2,050",0,Springs & Clips,Clip / Pin / Ring,,,,
5144-037-H,5144-037-H 3/8 E RING,WSS,700,850,0,Springs & Clips,Clip / Pin / Ring,,,,
5144-25-ZI,1/4 E-CLIP STEEL CLEAR ZINC,RTC,700,200,0,Springs & Clips,Clip / Pin / Ring,,,,
5154239-1,SPECIAL LANYARD PER PRINT,LEXCO,800,255,0,Miscellaneous/MRO,Custom / Print Part,,,,
5160-125-ZD,5160-125-ZD RETAINING RING,WSS,700,400,0,Springs & Clips,Clip / Pin / Ring,,,,
51618-WP-PP,"SHOULDER RIVET 0.445"" - 0.435""",WELLFL,902-WPSS,"277,300",0,Fasteners,Rivet,,,,
521-10,Tsunami GrIP-GEN PRPOSE GLV-XL,GLOBGL,400,8,0,Hardware & Fittings,Hardware Component,,,,
521-9,Tsunami GrIP-GEN PRPOSE GLV-LG,GLOBGL,400,8,0,Hardware & Fittings,Hardware Component,,,,
5233T54,10IDX14ODX2MMDIA SILICONE 70,QUALSE,800,"5,000",0,Adhesives/Tape/Sealants,Adhesive / Tape,,,,
5444-3,"5444-3 SOLDER LUG, BRASS, TIN",SMC,800,"1,300",0,Electrical & Wiring,Lug / Terminal,,,,
5463K314,PLASTIC BARBED TUBE FITTING,ELDON,700,0,"1,000",Hardware & Fittings,Fitting / Valve,,,,
5602-15-32,5602-15-32,SWG,700,200,0,Hardware & Fittings,Hardware Component,,,,
5607-150,5607-150 SEASTROM NATURAL 6/6,ESSENTRA,700,"4,800",0,Hardware & Fittings,Hardware Component,,,,
560N,18-14 AWG IDC CONECTOR BROWN,3M,400,"3,400",0,Hardware & Fittings,Hardware Component,,,,
5610-11-31,5610-11-31   SEASTROM,SWG,800,400,0,Hardware & Fittings,Hardware Component,,,,
5610-250-62,FLAT WASHER .147 x .250 x .062,SWG,700,600,0,Fasteners,Washer,,,,
5610-267-110,NYLON SPACER ROUND .187ID,FASCOM,700,207,0,Fasteners,Spacer / Standoff,,,,
5610-288-125,.222 X .562 X .125 FLAT NYLON,SMC,700,15,0,Fasteners,Screw,,,,
5610-315-125,FW375X.875X.125 NYLON,SMC,700,"1,500",0,Fasteners,Screw,,,,
5610-392-031,1.281 ID X 2.00 OD X .032,WWM,800,"9,105",0,Hardware & Fittings,Hardware Component,,,,
5612-109-62,.750 X 1.5 X .062 FLAT WASHER,WWM,800,200,0,Fasteners,Washer,,,,
5612-17-10,5612-17-10 SEASTROM,SMC,700,"1,000",0,Hardware & Fittings,Hardware Component,,,,
5700-68-30,"SHIM .030"" .817 ID X 1.067 OD",WWM,700,"6,160",0,Hardware & Fittings,Shim,,,,
57008SSL-P,3/8-16 SPRING PLUNGER,MONROE,700,100,0,Springs & Clips,Spring,,,,
57019-PP,TERMINAL PIN 5/16-18 THREAD,HEREDE,902-TBP,2,0,Electrical & Wiring,Lug / Terminal,,,,
5702-155-10,WASHER FLAT .505 X 1.000 X,WWM,700,"1,500",0,Fasteners,Washer,,,,
5702-20-60-ZY3,.265 X.500 X.060 FLATWASHER,WWM,800,"3,000",0,Fasteners,Washer,,,,
5702-672-60,WASHER 3/4 STEEL .062 THK X,MMC,700,100,0,Fasteners,Washer,,,,
5702-99-30-ZI,.256 ID X .875 OD X 030 TH,GOFAST,902-HUB,"38,150",0,Hardware & Fittings,Hardware Component,,,,
5710-133-20,.090 X .187 X .020 S/S WASHER,SWG,800,570,0,Fasteners,Washer,,,,
5710-206-30,5710-206-30 SEASTROM FW,WWM,800,"2,150",0,Fasteners,Washer,,,,
5710-287-20,.195 X .245 X .020 WSH FLAT,SWG,800,"1,500",0,Fasteners,Screw,,,,
5710-289-60,5710-289-60,SWG,800,300,0,Hardware & Fittings,Hardware Component,,,,
5710-402-16,WASHER SHIM .093 X .203 X .016,ACC-SP,701,450,0,Hardware & Fittings,Shim,,,,
5710-550-024,.258X.415X.024 TH STAINLESS,SWG,700,"4,570",0,Fasteners,Screw,,,,
5710-61-30,.255 X .566 X .030 FLATWASHER,WWM,800,"5,000",0,Fasteners,Washer,,,,
5710-625-125,.405ID X 1.105OD X .125TH,STR,704-CHAN,"64,640","349,300",Hardware & Fittings,Hardware Component,,,,
5710-82-90,.337 X .875 X .090 FLATWASHER,WWM,800,"5,400",0,Fasteners,Washer,,,,
5710-85-10,WASHER FLAT .390 X .630 X .010,SWG,700,"2,000",0,Fasteners,Washer,,,,
57118-PP,"HOSE NIPPLE 9/16-18 X 1-3/4""",SONOMA,800,1,0,Hardware & Fittings,Fitting / Valve,,,,
5737-5,BRASS CUP WASHER SEASTROM,SMC,800,"6,000",0,Fasteners,Washer,,,,
5795-91-A1,5/16 ROUND SPACER ALUMINUM,ACC-SP,701,400,0,Fasteners,Spacer / Standoff,,,,
5806-131-3,.406X.650X.085X.010TH 3 WAVE,SWG,800,"104,010",0,Fasteners,Screw,,,,
58-42-5-24,SPLIT RING RETAINER FOR 10-32,RCDUDE,700,300,0,Hardware & Fittings,Hardware Component,,,,
6010J24-31,M6 X 1.00 YARDLEY INSERT,YPC,800,400,0,Fasteners,Insert,,,,
6035-2BR-312-G,6035-2BR-312 HELI 8-32 BRASS,STMTAP,901-HAY,0,"200,000",Raw Materials & Metals,Raw Material,,,,
6135-2BR312-AFI-PP,8-32 X 5/16 BRASS INSERT,STMTAP,901-BALBOA,"50,132","200,000",Fasteners,Insert,,,,
62MP1750KOP,SOLID LOCKING PLUG  1-3/4 DIA.,ESSENTRA,700,262,0,Electrical & Wiring,Electrical Component,,,,
62PP037BG14,SOLID LOCKING PLUG- HOLE DIA,ESSENTRA,700,"1,226",0,Electrical & Wiring,Electrical Component,,,,
637917-01,"KIT: 4PCS-10 X1"" PPTS316SS",ACCU-WO,600,"40,000",0,Hardware & Fittings,Kit,,,,
638339-02-PP,6-32 X 7/16 COMBO PAN SCREW W.,STELFA,704-RB,"1,405,910","5,000,000",Fasteners,Screw,,,,
64-19,M10 X 1 45' GREASE FITTING,GLHUYE,700,300,0,Hardware & Fittings,Fitting / Valve,,,,
6540-171-PP,ADAPTER:1/4-18 NPSM X 3/8 BARB,WESTV,902-JAC,"4,000","10,000",Hardware & Fittings,Fitting / Valve,,,,
6570-096-PP CLIP,.582 HT/1.560L DOUBLE LEG,GOFAST,901-JAC,"91,990","300,000",Springs & Clips,Clip / Pin / Ring,,,,
6570-096-PP-G,.582 HT/1.560L DOUBLE LEG,GOFAST,902-JAC,5,0,Hardware & Fittings,Hardware Component,,,,
6570-374,1/2-13 STUD KEYHOLE 316 SS,METECH,902-JAC,900,"5,000",Fasteners,Rod / Stud,,,,
66101-4,AMP 66101-4,FE,700,500,0,Hardware & Fittings,Hardware Component,,,,
66103-4,AMP 66103-4,FE,700,500,0,Hardware & Fittings,Hardware Component,,,,
66105-4,AMP 66105-4,FE,700,200,0,Hardware & Fittings,Hardware Component,,,,
66109-4,AMP 66109-4,FE,700,500,0,Hardware & Fittings,Hardware Component,,,,
7005-PP,.188 X 2.120 SHAFT. LONG-TIMER,GMC,800,390,0,Fasteners,Screw,,,,
703-002-114-0A-P3,KIT 440-00076-P3 4 PCS PER,ACCU-WO,600,200,0,Hardware & Fittings,Kit,,,,
703-002-144-0A-P6,KIT 350-00106-P6 1 PCS PER,ACCU-WO,600,50,0,Hardware & Fittings,Kit,,,,
703-002-145-0A-P6,KIT 350-00107-P6 1 PC PER,accu-wo,600,1,0,Hardware & Fittings,Kit,,,,
703-002-200-0A-P6,KIT 428-00148-P6 4 PCS PER,ACCU-WO,600,75,0,Hardware & Fittings,Kit,,,,
703-002-204-0A-P6,KIT 427-00235-P6 4 PCS PER,ACCU-WO,600,200,0,Hardware & Fittings,Kit,,,,
705BPF-L,LARGE NITRILE GLOVE 5 MIL,GLOBGL,400,100,0,Miscellaneous/MRO,Safety / MRO,,,,
705BPF-M,MEDIUM NITRILE GLOVE 5 MIL,GLOBGL,400,100,0,Miscellaneous/MRO,Safety / MRO,,,,
705PFE-L,LARGE NITRILE GLOVE 3.5 MIL,GLOBGL,400,50,0,Miscellaneous/MRO,Safety / MRO,,,,
705PFE-M,MEDIUM NITRILE GLOVE 3.5 MIL,GLOBGL,400,50,0,Miscellaneous/MRO,Safety / MRO,,,,
711500-REV-C,"3/4"" COMPRESSION NUT PER",HEREDE,901-RWL,"3,607",0,Fasteners,Nut,,,,
711503-REV-C,"1""COMPRESSION NUT PER PRINT",HEREDE,901-RWL,"3,414",0,Fasteners,Nut,,,,
711504-A,"COMPRESSION FITTING BODY 1""",HEREDE,901-RWL,"4,500",0,Hardware & Fittings,Fitting / Valve,,,,
711506-REV-C,"1-1/4"" COMPRESSION NUT PER",HEREDE,901-RWL,"1,170",0,Fasteners,Nut,,,,
712-5/8,SILVER & DEMING DRILL (S&D),CHAMPI,400,4,0,Tools & Tooling,Tooling,,,,
712-9/16,SILVER & DEMING DRILL (S&D),CHAMPI,400,6,0,Tools & Tooling,Tooling,,,,
715-08,T8 TORX BIT 25MM LONG STEEL,UP,700,628,"7,500",Tools & Tooling,Tooling,,,,
71C4154,"CONN, PLUG 4 PIN SCRW",DIGIKE,602,471,0,Electrical & Wiring,Connector,,,,
71C4221,"CONN, PLUG 2 PIN  3.81MM",DIGIKE,602,811,"2,000",Electrical & Wiring,Connector,,,,
721512-PP,SEAL GRIP RING 3/4 IPS,CALIBE,704-RWL,"1,720","2,500",Hardware & Fittings,Seal / Gasket / O-Ring,,,,
721514-PP,"SEAL - 1"" IPS COMPRESSION",CALIBE,704-RWL,"4,400",0,Hardware & Fittings,Seal / Gasket / O-Ring,,,,
721515-PP,SEAL GRIP RING 1 1/4 IPS,CALIBE,704-RWL,"2,454",0,Hardware & Fittings,Seal / Gasket / O-Ring,,,,
721520-PP,SEAL GRIP RING 1 1/2 IPS,CALIBE,800,630,750,Hardware & Fittings,Seal / Gasket / O-Ring,,,,
721542-PP,CRIMP MOISTURE SEAL PRINT,CALIBE,800,"2,000",0,Hardware & Fittings,Seal / Gasket / O-Ring,,,,
7447B,7447B - 3M SCOTCHBRITE,3M,400,10,0,Abrasives & Cutting,Abrasive / Cutting,,,,
75218-AA,CONCRETE ANCHOR ASSY,ACCU-WO,600-TRAFX,"4,000",0,Fasteners,Anchor,,,,
760-1,"4"" X 8"" 1.54 MIL POLYBAG",AUTOPA,700,"20,000","50,750",Fasteners,Screw,,,,
7717-114N,7717-114N  THERMALLOY,FAST,700,"1,800",0,Hardware & Fittings,Hardware Component,,,,
78466-Q,4-1/2X 1/4 X7/8 DEPRESSED,3M,700,20,0,Fasteners,Screw,,,,
79-1660-26,79-1660-26 2-56 NYLON INSERT,CF,700,200,0,Fasteners,Insert,,,,
79-1660-40,4-40 MINATURE NYLON INSERT L/S,CF,700,500,0,Fasteners,Insert,,,,
79-1660-40-P,4-40 MINATURE NYLON INSERT L/S,ACC-SP,701,150,0,Fasteners,Insert,,,,
79NC2-62,79NC2-62,CF,700,53,0,Hardware & Fittings,Hardware Component,,,,
79NCFMA2-M3X.050,M3 X .050 FLUS MOUNT MINATURE,CF,800,19,0,Hardware & Fittings,Hardware Component,,,,
79NM-02,79NM-02 10-32  NILN,FAST,700,315,0,Hardware & Fittings,Hardware Component,,,,
8.00029-PP,SCREW ADJUSTING #10-24 LAT OA,WESTV,902-BREG,"37,000","50,000",Fasteners,Screw,,,,
8.09980-PP,"STUD, STRAP CLIP, X2K",HEREDE,902-BREG,"49,900","40,000",Fasteners,Rod / Stud,,,,
8.10301-PP,STUD STRAP TAB X2K,WESTV,902-BREG,0,"64,000",Fasteners,Rod / Stud,,,,
806-020S,"2"" 90 DEGREE ELBOW PVC",HARRIN,700,60,0,Hardware & Fittings,Fitting / Valve,,,,
806WC,SWAB COTTON SINGLE TIP,RSHCA,700,"6,000",0,Hardware & Fittings,Hardware Component,,,,
81060L,MR16BAB/827/LED X-81060,HAYWAR,700,60,0,Electrical & Wiring,Electrical Component,,,,
82099B,MR16FL6/RGBW/LED MR16,HAYWAR,700,60,0,Electrical & Wiring,Electrical Component,,,,
8213K4,MMC 8213K4,MMC,700,300,0,Hardware & Fittings,Hardware Component,,,,
82-32-401-41,82-32-401-41 SOUTHCO RETAINER,RCDUDE,700,21,0,Hardware & Fittings,Hardware Component,,,,
82340-SL,82340 SUPER LUBE- FOOD GRADE,RSHCA,700,"1,000",0,Hardware & Fittings,Hardware Component,,,,
83-98-924B,"KNURLED KNOB PRESS FIT 1/4""",SHEAR,700,"1,000",0,Hardware & Fittings,Hardware Component,,,,
8463-HEYCO,8463 HEYCO 1/2 LOCK NUT BLACK,HEY,700,"8,920",0,Electrical & Wiring,Electrical Component,,,,
8465-HEYCO,HEYCO 8465,HEY,700,"2,350",0,Electrical & Wiring,Electrical Component,,,,
8502500250-2000,1/4 X 1/4 X 2  +/- .010 KEY,GLHUYE,700,460,1,Tools & Tooling,Tooling,,,,
8548-1032-FTP-8,"5/8X1/4 RECT. 8"" 1 3/8 HT",VMG,700,0,"1,000",Fasteners,Screw,,,,
857-01,TIE DOWN D-STYLE RING,SPE&P,700,"15,000",0,Hardware & Fittings,Hardware Component,,,,
859501-PP,"MOUNTING CLIP, ROOF VENT",HEREDE,902-CAMCO,5,0,Springs & Clips,Clip / Pin / Ring,,,,
8596T35,3/4 RING NICKLE PLATED STEEL,MMC,700,99,0,Hardware & Fittings,Hardware Component,,,,
875025-15,"0.875"" OD X 0.825"" ID X 1.5""",K&SENG,700,1,0,Hardware & Fittings,Hardware Component,,,,
88-20033-10B-PP,.219 X .438 X .049 FLAT WASHER,WWM,800,100,0,Fasteners,Washer,,,,
88-20033-31C-PP,FLAT WASHER .406 X .875 X .065,WWM,800,100,0,Fasteners,Washer,,,,
88-21930-1-PP,T21NTE066,CF,800,"3,000",0,Hardware & Fittings,Hardware Component,,,,
887171967-4PK,GOLD LABEL WAX SEALER,ACCU-WO,700,2,0,Packaging & Labeling,Packaging,,,,
8876T12,MMC 8876T12,MMC,700,300,0,Hardware & Fittings,Hardware Component,,,,
8WPM-50-UV-100,"8""-WINGED PUSH MOUNT-50 LB",ALLELE,700,"10,000",0,Hardware & Fittings,Hardware Component,,,,
90-0001-02,1/4-28 X 2 DBL END SLOT STUD,SANKON,902-AST,"9,000",0,Fasteners,Screw,,,,
90061A015,BLACK NYLON CUP WASHER,VIP,700,0,"10,000",Fasteners,Washer,,,,
90825A814,8-32 X3/8 PHIL PAN SEALING,ZAGO,800,"1,650",0,Fasteners,Screw,,,,
91006-867-PP,TERMINAL DATA PIN 9129,ACC-SP,902-INVT,5,0,Electrical & Wiring,Lug / Terminal,,,,
91006-867-PP-P,TERMINAL DATA PIN 9129,STMTAP,902-INVT,0,"10,000",Electrical & Wiring,Lug / Terminal,,,,
91006-868-PP,FASTENER 9129 BATTERY TERMINAL,ACC-SP,902-INVT,5,0,Electrical & Wiring,Lug / Terminal,,,,
91006-868-PP-P,FASTENER 9129 BATTERY TERMINAL,STMTAP,902-INVT,0,"10,000",Electrical & Wiring,Lug / Terminal,,,,
910-1704-054-000,5/16-24 X 1 HEX HEAD  CAPTIVE,ACC-SP,802,749,0,Fasteners,Bolt,,,,
91075A442,MALE-FEMALE THREADED HEX STAND,HI-Q,700,"4,000",0,Hardware & Fittings,Hardware Component,,,,
91145A148,91145A148,VIP,700,500,0,Hardware & Fittings,Hardware Component,,,,
913021S,PSH040-TB-12-JC3/830/IP65/LED,HAYWAR,700,60,0,Electrical & Wiring,Electrical Component,,,,
91746A672,"MMC# 91746A672 10-24 X 3/4""",SAC,700,"1,020",0,Fasteners,Screw,,,,
91746A672-316,"10-24 X 3/4"" 316 SS",UNI,700,"1,000",0,Fasteners,Screw,,,,
92060A116,MMC 92060A116 RETRAC CAPTIVE,MMC,700,100,0,Hardware & Fittings,Hardware Component,,,,
9224-N-140,9224-N-140,FASCOM,800,100,0,Hardware & Fittings,Hardware Component,,,,
92320A367,#8 UNTHREADED STAINLESS STEEL,FASCOM,700,0,"12,000",Hardware & Fittings,Hardware Component,,,,
92510A460,#8 UNTHREADED ALUMINUM BUSHING,FASCOM,700,0,"8,000",Electrical & Wiring,Electrical Component,,,,
92511A127,ALUMINUM UNTHREADED SPACER 1/8,FASCOM,700,"2,000",0,Fasteners,Spacer / Standoff,,,,
9440B-PP,FLAT WASHER 3.3MM X 24MM X,ACC-SP,801,"2,500",0,Fasteners,Washer,,,,
94639A127,94639A127 SPACER NYLON,VIP,700,800,0,Fasteners,Spacer / Standoff,,,,
94669A369,"16MM OD X 50MM LONG, M10 SCREW",FASCOM,700,25,0,Fasteners,Screw,,,,
94773A778,"5/8"" STEEL SHIM X 7/8 OD",MMC,700,50,0,Hardware & Fittings,Shim,,,,
94803A050,1/2 AXLE CAP,IF,700,400,0,Hardware & Fittings,Hardware Component,,,,
94850A140,1/4-20 TAPPED BARREL NUT,ABCOR,700,"6,000",0,Fasteners,Nut,,,,
9-513-PP,BUSS BAR INSULATED POSITIVE,SHOGO,902-PHIL,51,0,Raw Materials & Metals,Raw Material,,,,
9-514-PP,BUSS BAR INSULATED NEGATIVE,SHOGO,902-PHIL,53,0,Raw Materials & Metals,Raw Material,,,,
951618-13-IMPORT,5/16-18 X 13MM LONG HEX DRIVE,GOFAST,901-JAC,0,"301,000",Fasteners,Bolt,,,,
9600K317,"RUBBER GROMMET FOR 5/8"" HOLE",RUBBER,700,50,0,Hardware & Fittings,Bushing / Grommet,,,,
9600-L,INDSTRL GR DISPOSABLE GLVS-LG,GLOBGL,400,4,0,Hardware & Fittings,Hardware Component,,,,
9600-XL,INDSTRL GR DISPOSABLE GLVS-XLG,GLOBGL,400,4,0,Hardware & Fittings,Hardware Component,,,,
96115A440,MMC 96115A440,MMC,700,1,0,Hardware & Fittings,Hardware Component,,,,
96415A140,M3.5 METRIC PUSH NUT STEEL,MMC,700,500,0,Fasteners,Nut,,,,
9654K119,"EXTENSION SPRING 1.75"" LONG",ARANKI,700,40,0,Springs & Clips,Spring,,,,
9712K15,.190IDX.375ODX.0180TH,GARDNE,700,"2,500","2,500",Hardware & Fittings,Hardware Component,,,,
9714K26,.397X.484X.029X.0090 3 WAVER,GARDNE,700,"2,200",0,Fasteners,Screw,,,,
9714K35,.531 ID X .734 OD X .0090 TK,ASR,700,"1,200",0,Hardware & Fittings,Hardware Component,,,,
97220-304-PP,M3-1.0 X 8MM PHILLIPS PAN HEAD,KWOKTA,902-INVT,"5,950",0,Fasteners,Screw,,,,
9750K37,"3"" SNAP-IN PLUG, ROUND",PCC,700,250,"5,250",Electrical & Wiring,Electrical Component,,,,
97750-318-PP,BRASS TERMINAL ZINC PLATED PER,ACC-SP,902-INVT,"18,000",0,Electrical & Wiring,Lug / Terminal,,,,
98070A320,8-32X3/8 PHIL FLAT 100 DEG,ZAGO,800,"2,348",0,Fasteners,Screw,,,,
9850-00016-00,HOOK & LOOP STRAP 5/8 X 14,HANGZHOU,902-CHAN,"20,000","40,000",Fasteners,Screw,,,,
988-0137-70,INSRT HDWR MOD LOW XD,NAVICO,602,100,0,Hardware & Fittings,Hardware Component,,,,
990-0000-113-PP,4-40 UNC-3B X .281 ALUMINUM,HEREDE,902-ITT,"15,000","25,000",Raw Materials & Metals,Raw Material,,,,
9-901-PP,POSITIVE BUSBAR BRACKET,SHOGO,902-PHIL,13,0,Hardware & Fittings,Hardware Component,,,,
9-902-PP,NEGATIVE BUSBAR BRACKET,SHOGO,902-PHIL,11,0,Hardware & Fittings,Hardware Component,,,,
